title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6.0,1996,11,25,9462,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
Rayman,PlayStation,7.0,1996,11,25,463,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03
Andretti Racing,PlayStation,8.0,1996,11,21,2663,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77
Discworld,PlayStation,7.0,1996,11,21,12265,Adventure,Psygnosis,0.04,0.02,0.0,0.0,0.06
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54
Gunship,PlayStation,3.0,1996,11,25,6302,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27
Revolution X,PlayStation,1.0,1996,11,25,10497,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1
Shockwave Assault,PlayStation,4.0,1996,11,25,10907,Simulation,Electronic Arts,0.05,0.04,0.0,0.01,0.09
HardBall 5,PlayStation,4.0,1996,11,25,9888,Sports,SPS,0.07,0.04,0.0,0.01,0.12
WipEout XL,PlayStation,9.0,1996,11,26,6657,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25
WipEout,PlayStation,8.0,1996,11,26,4167,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47
Battle Arena Toshinden,PlayStation,7.0,1996,11,21,1569,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
Destruction Derby,PlayStation,7.0,1996,11,21,2304,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
Aquanaut's Holiday,PlayStation,8.0,1996,11,21,15317,Adventure,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
Air Combat,PlayStation,7.0,1996,11,21,952,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
Descent,PlayStation,7.0,1996,11,21,7799,Shooter,Interplay,0.11,0.07,0.0,0.01,0.19
Cyber Sled,PlayStation,5.0,1996,11,21,9243,Action,Sony Computer Entertainment,0.0,0.0,0.13,0.01,0.14
The King of Fighters '95,PlayStation,5.0,1996,11,25,8303,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17
Jumping Flash! 2,PlayStation,8.0,1996,11,25,6753,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.25
Epidemic,PlayStation,4.0,1996,11,25,9164,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
Philosoma,PlayStation,5.0,1996,11,25,13090,Shooter,Sony Computer Entertainment,0.03,0.02,0.0,0.0,0.05
Magic Carpet,PlayStation,7.5,1996,11,25,13333,Shooter,Electronic Arts,0.03,0.02,0.0,0.0,0.05
Project: Horned Owl,PlayStation,6.0,1996,11,25,10406,Shooter,Sony Computer Entertainment,0.03,0.02,0.05,0.01,0.11
In the Hunt,PlayStation,3.0,1996,11,25,9258,Shooter,THQ,0.03,0.02,0.07,0.01,0.14
International Track & Field,PlayStation,7.0,1996,11,25,3887,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51
Novastorm,PlayStation,2.0,1996,11,25,13706,Shooter,Psygnosis,0.02,0.02,0.0,0.0,0.04
