title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
WWE SmackDown! Here Comes the Pain,PlayStation 2,9.1,2003,10,24,525,Fighting,THQ,1.32,1.06,0.04,0.38,2.8,,,,
"Crouching Tiger, Hidden Dragon",PlayStation 2,4.8,2003,10,16,9509,Action,Ubisoft,0.06,0.05,0.0,0.02,0.13,48,26,3.7,6
Tak and the Power of Juju,PlayStation 2,7.9,2003,10,14,1780,Platform,THQ,0.56,0.44,0.0,0.15,1.15,68,28,9,28
Time Crisis 3,PlayStation 2,8.4,2003,10,21,3302,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81,29,8.1,12
ESPN NBA Basketball,PlayStation 2,9.2,2003,10,21,3744,Sports,Sega,0.26,0.21,0.0,0.07,0.54,89,18,8.4,38
NBA ShootOut 2004,PlayStation 2,6.9,2003,10,29,6599,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.26,58,19,7.8,8
Gladius,PlayStation 2,8.0,2003,10,29,7669,Strategy,Activision,0.1,0.08,0.0,0.03,0.2,78,27,8,22
Rogue Ops,PlayStation 2,7.5,2003,10,29,7130,Action,Kemco,0.11,0.09,0.0,0.03,0.23,61,26,9.2,6
Tony Hawk's Underground,PlayStation 2,9.5,2003,10,28,307,Sports,Activision,2.29,1.17,0.01,0.42,3.9,90,38,8.7,121
Harry Potter: Quidditch World Cup,PlayStation 2,7.2,2003,10,27,2324,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,68,21,6.6,27
Gladiator: Sword of Vengeance,PlayStation 2,8.0,2003,11,3,9853,Action,Acclaim Entertainment,0.06,0.05,0.0,0.02,0.12,65,19,5.8,8
The Lord of the Rings: The Return of the King,PlayStation 2,8.9,2003,11,3,409,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28,85,31,8.7,105
Ford Racing 2,PlayStation 2,4.9,2003,11,3,2057,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,51,5,8,8
