title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tetrisphere,Nintendo 64,8.0,1997,8,13,5208,Puzzle,Nintendo,0.29,0.06,0.0,0.0,0.36
Porsche Challenge,PlayStation,8.0,1997,8,5,11060,Racing,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09
Lethal Enforcers I & II,PlayStation,4.0,1997,8,5,14478,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03
VMX Racing,PlayStation,5.0,1997,7,25,6112,Racing,Playmates,0.16,0.11,0.0,0.02,0.28
Duke Nukem 64,Nintendo 64,8.0,1997,11,14,4454,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44
Jet Moto 2,PlayStation,7.0,1997,11,12,884,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
Cool Boarders 2,PlayStation,7.2,1997,11,11,717,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
Time Crisis,PlayStation,8.0,1997,11,11,1079,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68
Maximum Force,PlayStation,5.0,1997,9,25,10178,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11
Treasures of the Deep,PlayStation,8.0,1997,9,24,7995,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.19
Discworld II: Mortality Bytes!,PlayStation,6.0,1997,9,24,15763,Adventure,Psygnosis,0.01,0.01,0.0,0.0,0.02
Nuclear Strike,PlayStation,7.6,1997,9,24,1688,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19
NASCAR 98,PlayStation,8.0,1997,9,23,1234,Racing,Electronic Arts,1.43,0.05,0.0,0.04,1.52
Herc's Adventures,PlayStation,6.0,1997,7,18,13829,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.04
