title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
World of Warcraft,PC,9.1,2004,12,10,138,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
Star Wars Knights of the Old Republic II: The Sith Lords,PC,8.7,2005,2,8,12350,Role-Playing,LucasArts,0.01,0.04,0.0,0.01,0.06
The Sims 2: University,PC,8.5,2005,2,28,12674,Simulation,Electronic Arts,0.01,0.04,0.0,0.01,0.06
Silent Hunter III,PC,8.8,2005,3,18,11515,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08
LEGO Star Wars: The Video Game,PC,7.8,2005,3,28,15790,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02
SWAT 4,PC,9.0,2005,3,30,14844,Shooter,Vivendi Games,0.0,0.02,0.0,0.0,0.03
Empire Earth II,PC,8.9,2005,4,25,14411,Strategy,Vivendi Games,0.0,0.03,0.0,0.0,0.03
Imperial Glory,PC,8.5,2005,6,1,13679,Strategy,Eidos Interactive,0.0,0.04,0.0,0.0,0.04
Battlefield 2,PC,8.9,2005,6,19,11290,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,0.08
Grand Theft Auto: San Andreas,PC,9.3,2005,6,7,2122,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
Guild Wars,PC,9.0,2005,5,11,14799,Role-Playing,NCSoft,0.02,0.0,0.0,0.0,0.03
Dungeon Siege II,PC,8.5,2005,8,15,14839,Role-Playing,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03
Fable: The Lost Chapters,PC,8.7,2005,9,16,11946,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07
Indigo Prophecy,PC,8.4,2005,9,20,15203,Adventure,Atari,0.0,0.02,0.0,0.0,0.02
The Sims 2: Nightlife,PC,8.2,2005,9,12,1554,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
Black & White 2,PC,8.8,2005,9,28,10952,Strategy,Electronic Arts,0.01,0.07,0.0,0.01,0.09
Age of Empires III,PC,8.8,2005,10,14,4928,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39
Quake 4,PC,8.1,2005,10,13,15185,Shooter,Activision,0.0,0.02,0.0,0.0,0.02
Serious Sam II,PC,8.2,2005,10,11,16006,Shooter,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01
Sid Meier's Civilization IV,PC,9.4,2005,10,21,8352,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.17
Call of Duty 2,PC,8.5,2005,10,25,12410,Shooter,Activision,0.0,0.05,0.0,0.01,0.06
The Movies,PC,8.0,2005,11,8,13835,Simulation,Activision,0.01,0.03,0.0,0.01,0.04
Heroes of the Pacific,PC,8.0,2005,11,4,15433,Simulation,Codemasters,0.0,0.02,0.0,0.0,0.02
Sniper Elite,PC,7.5,2005,11,2,15838,Shooter,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02
The Incredibles: Rise of the Underminer,PC,6.0,2005,12,1,15822,Action,THQ,0.01,0.0,0.0,0.0,0.02
Starship Troopers,PC,5.0,2005,12,5,15463,Shooter,Empire Interactive,0.0,0.02,0.0,0.0,0.02
TOCA Race Driver 3,PC,8.7,2006,2,24,15346,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02
Star Wars: Empire at War,PC,7.6,2006,2,15,11160,Strategy,LucasArts,0.01,0.06,0.0,0.02,0.09
Tycoon City: New York,PC,7.0,2006,3,15,15471,Strategy,Atari,0.0,0.02,0.0,0.0,0.02
The Sims 2: Open for Business,PC,7.8,2006,3,14,3873,Simulation,Electronic Arts,0.46,0.05,0.0,0.0,0.52
Blazing Angels: Squadrons of WWII,PC,6.8,2006,3,27,15753,Simulation,Ubisoft,0.01,0.0,0.0,0.0,0.02
The Elder Scrolls IV: Oblivion,PC,9.3,2006,3,24,6507,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.05,0.26
Tomb Raider: Legend,PC,8.2,2006,4,5,15629,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02
Rise of Nations: Rise of Legends,PC,8.2,2006,5,19,14161,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03
Hitman: Blood Money,PC,8.0,2006,5,30,14084,Action,Eidos Interactive,0.0,0.03,0.0,0.01,0.04
Heroes of Might and Magic V,PC,7.8,2006,5,26,13660,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04
Titan Quest,PC,8.1,2006,6,23,12718,Role-Playing,THQ,0.01,0.04,0.0,0.01,0.06
DarkStar One,PC,8.0,2006,8,23,14056,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.04
LEGO Star Wars II: The Original Trilogy,PC,8.0,2006,9,7,15748,Action,Activision,0.0,0.01,0.0,0.0,0.02
Just Cause,PC,6.8,2006,9,26,15751,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02
Scarface: The World is Yours,PC,8.7,2006,10,6,13851,Action,Vivendi Games,0.01,0.02,0.0,0.01,0.04
Scarface: The World is Yours,PC,8.7,2006,10,6,13851,Action,Vivendi Games,0.01,0.02,0.0,0.01,0.04
Company of Heroes,PC,9.4,2006,9,11,13303,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
ParaWorld,PC,7.8,2006,9,28,14933,Strategy,Deep Silver,0.0,0.02,0.0,0.0,0.02
Battlefield 2142,PC,8.4,2006,10,20,14786,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03
Caesar IV,PC,7.7,2006,10,17,13871,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04
Neverwinter Nights 2,PC,8.5,2006,11,3,14873,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03
1701 A.D.,PC,8.2,2006,10,30,5843,Simulation,Deep Silver,0.0,0.25,0.0,0.05,0.3
Need for Speed Carbon,PC,8.2,2006,10,27,13153,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.05
Warhammer: Mark of Chaos,PC,8.0,2006,11,10,14673,Strategy,Deep Silver,0.0,0.02,0.0,0.0,0.03
Medieval II: Total War,PC,8.8,2006,11,10,10848,Strategy,Sega,0.0,0.08,0.0,0.02,0.09
