title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Spider-Man: Friend or Foe,Wii,4.9,2007,10,8,8839,Action,Activision,0.13,0.01,0.0,0.01,0.15,55,12,tbd,
I Spy: Fun House,Nintendo DS,5.0,2007,10,2,2500,Puzzle,Scholastic Inc.,0.77,0.0,0.0,0.06,0.83,53,6,tbd,
MLB Power Pros,Wii,8.4,2007,10,8,5976,Sports,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,83,12,8.4,45
Balls of Fury,Nintendo DS,6.5,2007,10,8,15680,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,19,6,2.8,25
Anubis II,Wii,2.0,2007,10,1,12011,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07,19,5,2.7,28
Backyard Hockey,Nintendo DS,4.0,2007,10,18,11854,Sports,Atari,0.07,0.0,0.0,0.01,0.07,,,tbd,
Thrillville: Off the Rails,Nintendo DS,4.5,2007,10,18,13442,Strategy,LucasArts,0.03,0.01,0.0,0.0,0.05,70,14,2.8,40
Tony Hawk's Proving Ground,Nintendo DS,8.0,2007,10,17,7066,Sports,Activision,0.21,0.01,0.0,0.02,0.23,65,6,6.6,17
Thrillville: Off the Rails,Wii,7.8,2007,10,17,4347,Strategy,LucasArts,0.39,0.02,0.0,0.03,0.45,70,14,2.8,40
Mercury Meltdown Revolution,Wii,7.5,2007,10,17,8150,Action,Ignition Entertainment,0.16,0.0,0.0,0.01,0.18,77,41,7.4,16
Crash of the Titans,Nintendo DS,8.0,2007,10,10,4077,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.49,,,7.1,24
Balls of Fury,Wii,1.2,2007,10,16,15154,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,19,6,2.8,25
Biker Mice From Mars,Nintendo DS,3.0,2007,10,16,14324,Racing,Game Factory,0.03,0.0,0.0,0.0,0.03,,,tbd,
The Legend of Spyro: The Eternal Night,Nintendo DS,5.5,2007,10,16,5092,Platform,Vivendi Games,0.32,0.03,0.0,0.03,0.37,54,18,5.4,28
Crash of the Titans,Wii,6.5,2007,10,16,4237,Action,Vivendi Games,0.4,0.03,0.0,0.04,0.46,,,7.1,24
Dewy's Adventure,Wii,6.8,2007,10,16,8547,Platform,Konami Digital Entertainment,0.14,0.0,0.01,0.01,0.16,67,29,6.3,15
Looney Tunes: Duck Amuck,Nintendo DS,6.0,2007,10,9,5867,Action,Warner Bros. Interactive Entertainment,0.28,0.0,0.0,0.02,0.3,66,16,tbd,
Math Play,Nintendo DS,3.0,2007,10,12,5787,Puzzle,Ubisoft,0.28,0.0,0.0,0.02,0.31,,,tbd,
Garfield's Nightmare,Nintendo DS,7.0,2007,10,12,15561,Platform,Game Factory,0.01,0.0,0.0,0.0,0.02,70,9,tbd,
