title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Your Shape: Fitness Evolved 2012,Xbox 360,7.5,2012,1,24,1721,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,77,13,7.6,21
UFC Undisputed 3,Xbox 360,9.0,2012,2,9,2068,Action,THQ,0.72,0.21,0.0,0.07,1.0,86,30,7.4,92
Grand Slam Tennis 2,Xbox 360,8.5,2012,2,9,7956,Sports,Electronic Arts,0.1,0.07,0.0,0.02,0.19,73,36,5.2,17
The Darkness II,Xbox 360,8.0,2012,2,7,4908,Shooter,Take-Two Interactive,0.24,0.12,0.0,0.03,0.39,80,71,7.5,219
Kingdoms of Amalur: Reckoning,Xbox 360,9.0,2012,2,6,2351,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89,80,71,7.7,446
Resident Evil: Operation Raccoon City,Xbox 360,4.0,2012,3,20,2649,Action,Capcom,0.55,0.15,0.03,0.06,0.78,52,36,4.9,222
Silent Hill HD Collection,Xbox 360,9.0,2012,3,19,7748,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,70,33,4.8,136
FIFA Street,Xbox 360,8.0,2012,3,15,2252,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92,76,36,6.4,66
Silent Hill: Downpour,Xbox 360,4.5,2012,3,14,5494,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.03,0.33,64,41,6.9,262
Naruto Shippuden: Ultimate Ninja Storm Generations,Xbox 360,8.5,2012,3,13,4377,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45,74,23,7.1,83
Mass Effect 3,Xbox 360,9.5,2012,3,6,458,Role-Playing,Electronic Arts,1.94,0.86,0.03,0.24,3.07,93,74,5.8,3725
Major League Baseball 2K12,Xbox 360,7.0,2012,3,6,3996,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,0.5,68,19,6.4,22
Warriors Orochi 3,Xbox 360,8.5,2012,4,5,8515,Action,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16,70,17,7.9,35
Devil May Cry HD Collection,Xbox 360,7.5,2012,3,30,4478,Action,Capcom,0.28,0.11,0.01,0.03,0.44,74,27,8.8,158
SSX,Xbox 360,9.0,2012,2,24,2823,Sports,Electronic Arts,0.38,0.28,0.0,0.06,0.72,81,38,6.8,110
Tiger Woods PGA Tour 13,Xbox 360,6.5,2012,3,27,3891,Sports,Electronic Arts,0.29,0.18,0.0,0.04,0.51,75,14,5.7,9
Armored Core V,Xbox 360,7.5,2012,3,27,7307,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.22,65,26,7.3,47
Kinect Rush: A Disney Pixar Adventure,Xbox 360,6.0,2012,3,27,3376,Adventure,Microsoft Game Studios,0.38,0.16,0.0,0.05,0.6,68,31,5.1,15
Syndicate,Xbox 360,7.5,2012,2,21,8002,Shooter,Electronic Arts,0.1,0.06,0.0,0.02,0.18,74,65,7.1,174
Binary Domain,Xbox 360,7.5,2012,2,21,7832,Action,Sega,0.09,0.07,0.02,0.02,0.19,72,33,8.2,179
Asura's Wrath,Xbox 360,7.5,2012,2,17,6911,Action,Capcom,0.15,0.06,0.01,0.02,0.24,71,39,7.4,169
Tom Clancy's Ghost Recon: Future Soldier,Xbox 360,8.5,2012,5,22,1301,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.46,79,75,7.2,334
