title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Diablo II: Lord of Destruction,PC,8.8,2001,7,5,1959,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,87,21,9.1,639
Max Payne,PC,9.3,2001,7,27,15142,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02,80,21,8.5,86
Stronghold,PC,8.7,2001,10,26,10007,Strategy,Gathering of Developers,0.0,0.09,0.0,0.02,0.11,81,19,8.9,224
Harry Potter and the Sorcerer's Stone,PC,6.4,2001,11,16,12686,Action,Electronic Arts,0.01,0.04,0.0,0.01,0.06,64,11,7.5,41
IL-2 Sturmovik,PC,8.3,2001,11,28,16070,Simulation,Blue Byte,0.0,0.01,0.0,0.0,0.01,91,12,8.8,130
Empire Earth,PC,8.5,2001,11,29,13169,Strategy,Vivendi Games,0.0,0.04,0.0,0.01,0.05,81,23,8.2,126
The Sims: Hot Date,PC,8.4,2001,12,6,956,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,85,17,7.9,70
Command & Conquer Renegade,PC,7.4,2002,3,4,16342,Shooter,Electronic Arts,0.0,0.01,0.0,0.0,0.01,,,,
The Sims: Vacation,PC,8.0,2002,4,8,457,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,75,18,7.8,22
Grand Theft Auto III,PC,9.4,2002,5,27,16096,Action,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,93,20,8.4,805
Neverwinter Nights,PC,9.0,2002,6,21,14330,Role-Playing,Atari,0.0,0.03,0.0,0.01,0.03,91,34,8.2,490
Warcraft III: Reign of Chaos,PC,9.3,2002,7,2,9518,Strategy,Vivendi Games,0.03,0.08,0.0,0.02,0.13,92,40,9.1,1023
Icewind Dale II,PC,9.0,2002,9,5,16358,Role-Playing,Interplay,0.0,0.01,0.0,0.0,0.01,83,22,8.3,147
Mafia,PC,9.2,2002,8,29,13370,Action,Take-Two Interactive,0.0,0.04,0.0,0.01,0.05,88,27,9.1,863
Battlefield 1942,PC,9.3,2002,9,16,14875,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,89,27,8.6,327
Unreal Tournament 2003,PC,9.0,2002,9,27,16020,Shooter,Atari,0.0,0.01,0.0,0.0,0.01,86,27,8.2,98
RollerCoaster Tycoon 2,PC,8.0,2002,10,4,1595,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,74,22,8.5,135
The Sims: Unleashed,PC,7.0,2002,10,3,329,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,79,21,8,29
Syberia,PC,7.1,2002,10,10,14581,Action,Microids,0.0,0.02,0.0,0.0,0.03,82,26,8.5,235
Age of Mythology,PC,9.3,2002,11,4,11149,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,89,31,8.9,484
Harry Potter and the Chamber of Secrets,PC,8.0,2002,11,26,16146,Action,Electronic Arts,0.0,0.01,0.0,0.0,0.01,71,16,7.6,49
SimCity 4,PC,9.2,2003,1,14,5921,Simulation,Electronic Arts,0.01,0.24,0.0,0.05,0.3,84,36,8.7,268
Freelancer,PC,9.2,2003,2,26,13181,Simulation,Microsoft Game Studios,0.02,0.02,0.0,0.01,0.05,85,39,9,185
Post Mortem,PC,7.9,2003,2,25,15711,Adventure,Microids,0.0,0.01,0.0,0.0,0.02,71,25,8,28
Praetorians,PC,8.9,2003,3,13,13496,Strategy,Eidos Interactive,0.0,0.04,0.0,0.0,0.04,78,23,8.2,38
Vietcong,PC,7.0,2003,3,31,15457,Shooter,Gathering of Developers,0.0,0.02,0.0,0.0,0.02,74,22,8.7,76
Rayman 3: Hoodlum Havoc,PC,8.3,2003,4,10,14391,Platform,Ubisoft,0.0,0.03,0.0,0.01,0.03,76,21,8.6,38
